[2025-05-19T07:09:36.694+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-19T07:09:36.699+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: csv_to_parquet.kafka_consumer scheduled__2025-05-19T07:02:00+00:00 [queued]>
[2025-05-19T07:09:36.701+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: csv_to_parquet.kafka_consumer scheduled__2025-05-19T07:02:00+00:00 [queued]>
[2025-05-19T07:09:36.701+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 3
[2025-05-19T07:09:36.705+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): kafka_consumer> on 2025-05-19 07:02:00+00:00
[2025-05-19T07:09:36.707+0000] {standard_task_runner.py:72} INFO - Started process 824 to run task
[2025-05-19T07:09:36.709+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'csv_to_parquet', 'kafka_consumer', 'scheduled__2025-05-19T07:02:00+00:00', '--job-id', '27', '--raw', '--subdir', 'DAGS_FOLDER/log_to_csv.py', '--cfg-path', '/tmp/tmprc3zi1df']
[2025-05-19T07:09:36.709+0000] {standard_task_runner.py:105} INFO - Job 27: Subtask kafka_consumer
[2025-05-19T07:09:36.726+0000] {task_command.py:467} INFO - Running <TaskInstance: csv_to_parquet.kafka_consumer scheduled__2025-05-19T07:02:00+00:00 [running]> on host 8b6a4ce3396b
[2025-05-19T07:09:36.824+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='csv_to_parquet' AIRFLOW_CTX_TASK_ID='kafka_consumer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-19T07:02:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-19T07:02:00+00:00'
[2025-05-19T07:09:36.825+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-19T07:09:36.830+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=bootstrap-0 host=host.docker.internal:9092 <connecting> [IPv4 ('192.168.65.254', 9092)]>: connecting to host.docker.internal:9092 [('192.168.65.254', 9092) IPv4]
[2025-05-19T07:09:36.833+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=bootstrap-0 host=host.docker.internal:9092 <checking_api_versions_recv> [IPv4 ('192.168.65.254', 9092)]>: Broker version identified as 2.6
[2025-05-19T07:09:36.833+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=bootstrap-0 host=host.docker.internal:9092 <connected> [IPv4 ('192.168.65.254', 9092)]>: Connection complete.
[2025-05-19T07:09:36.833+0000] {subscription_state.py:177} INFO - Updating subscribed topics to: ('***test',)
[2025-05-19T07:09:36.834+0000] {logging_mixin.py:190} INFO - ✅ Consumer started, waiting for messages...
[2025-05-19T07:09:36.835+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=1 host=172.16.24.224:9092 <connecting> [IPv4 ('172.16.24.224', 9092)]>: connecting to 172.16.24.224:9092 [('172.16.24.224', 9092) IPv4]
[2025-05-19T07:09:36.936+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=1 host=172.16.24.224:9092 <connected> [IPv4 ('172.16.24.224', 9092)]>: Connection complete.
[2025-05-19T07:09:36.937+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=bootstrap-0 host=host.docker.internal:9092 <connected> [IPv4 ('192.168.65.254', 9092)]>: Closing connection. 
[2025-05-19T07:09:37.040+0000] {cluster.py:400} INFO - Coordinator for group/spark is ('coordinator-1', '172.16.24.224', 9092, None)
[2025-05-19T07:09:37.041+0000] {base.py:769} INFO - Discovered coordinator coordinator-1 for group spark
[2025-05-19T07:09:37.041+0000] {base.py:820} INFO - Starting new heartbeat thread
[2025-05-19T07:09:37.042+0000] {consumer.py:362} INFO - Revoking previously assigned partitions () for group spark
[2025-05-19T07:09:37.043+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=coordinator-1 host=172.16.24.224:9092 <connecting> [IPv4 ('172.16.24.224', 9092)]>: connecting to 172.16.24.224:9092 [('172.16.24.224', 9092) IPv4]
[2025-05-19T07:09:37.145+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=coordinator-1 host=172.16.24.224:9092 <connected> [IPv4 ('172.16.24.224', 9092)]>: Connection complete.
[2025-05-19T07:09:37.247+0000] {base.py:524} INFO - (Re-)joining group spark
[2025-05-19T07:09:37.250+0000] {base.py:524} INFO - (Re-)joining group spark
[2025-05-19T07:09:40.256+0000] {base.py:587} INFO - Elected group leader -- performing partition assignments using range
[2025-05-19T07:09:40.265+0000] {base.py:401} INFO - Successfully joined group spark with generation 1
[2025-05-19T07:09:40.322+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from instagram at 2025-05-19T06:37:07.575443
[2025-05-19T07:09:40.322+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from naver at 2025-05-19T06:37:07.631833
[2025-05-19T07:09:40.322+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from instagram at 2025-05-19T06:37:07.688013
[2025-05-19T07:09:40.322+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:37:07.743935
[2025-05-19T07:09:40.323+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:07.799678
[2025-05-19T07:09:40.323+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from naver at 2025-05-19T06:37:07.856608
[2025-05-19T07:09:40.323+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:07.914281
[2025-05-19T07:09:40.323+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from instagram at 2025-05-19T06:37:07.967267
[2025-05-19T07:09:40.323+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:37:08.019256
[2025-05-19T07:09:40.323+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:37:08.072103
[2025-05-19T07:09:40.323+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:37:08.129356
[2025-05-19T07:09:40.324+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from instagram at 2025-05-19T06:37:08.181734
[2025-05-19T07:09:40.324+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from naver at 2025-05-19T06:37:08.234555
[2025-05-19T07:09:40.324+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:37:08.290555
[2025-05-19T07:09:40.324+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from naver at 2025-05-19T06:37:08.347110
[2025-05-19T07:09:40.324+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:08.403049
[2025-05-19T07:09:40.324+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:37:08.460304
[2025-05-19T07:09:40.324+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:08.515225
[2025-05-19T07:09:40.325+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from instagram at 2025-05-19T06:37:08.573372
[2025-05-19T07:09:40.325+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:37:08.629517
[2025-05-19T07:09:40.325+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from youtube at 2025-05-19T06:37:08.685802
[2025-05-19T07:09:40.325+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from instagram at 2025-05-19T06:37:08.741224
[2025-05-19T07:09:40.325+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:08.795536
[2025-05-19T07:09:40.325+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from youtube at 2025-05-19T06:37:08.851489
[2025-05-19T07:09:40.325+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from naver at 2025-05-19T06:37:08.906640
[2025-05-19T07:09:40.326+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from naver at 2025-05-19T06:37:08.961042
[2025-05-19T07:09:40.326+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:37:09.017554
[2025-05-19T07:09:40.326+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:37:09.073260
[2025-05-19T07:09:40.326+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from naver at 2025-05-19T06:37:09.126741
[2025-05-19T07:09:40.326+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from naver at 2025-05-19T06:37:09.180702
[2025-05-19T07:09:40.326+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from instagram at 2025-05-19T06:37:09.234399
[2025-05-19T07:09:40.326+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from naver at 2025-05-19T06:37:09.291273
[2025-05-19T07:09:40.327+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from youtube at 2025-05-19T06:37:09.347063
[2025-05-19T07:09:40.327+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:09.402751
[2025-05-19T07:09:40.327+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:37:09.458229
[2025-05-19T07:09:40.327+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from youtube at 2025-05-19T06:37:09.513788
[2025-05-19T07:09:40.327+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from naver at 2025-05-19T06:37:09.573118
[2025-05-19T07:09:40.327+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from naver at 2025-05-19T06:37:09.627342
[2025-05-19T07:09:40.327+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from naver at 2025-05-19T06:37:09.683474
[2025-05-19T07:09:40.328+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from instagram at 2025-05-19T06:37:09.739364
[2025-05-19T07:09:40.328+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:37:09.798301
[2025-05-19T07:09:40.328+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:09.856269
[2025-05-19T07:09:40.328+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:09.912222
[2025-05-19T07:09:40.328+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from naver at 2025-05-19T06:37:09.966519
[2025-05-19T07:09:40.328+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:37:10.020374
[2025-05-19T07:09:40.328+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:37:10.078510
[2025-05-19T07:09:40.328+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from instagram at 2025-05-19T06:37:10.134159
[2025-05-19T07:09:40.329+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:10.186756
[2025-05-19T07:09:40.329+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:10.240127
[2025-05-19T07:09:40.329+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:37:10.294799
[2025-05-19T07:09:40.329+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:37:10.351131
[2025-05-19T07:09:40.329+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from youtube at 2025-05-19T06:37:10.407270
[2025-05-19T07:09:40.329+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:37:10.459514
[2025-05-19T07:09:40.329+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:10.513160
[2025-05-19T07:09:40.330+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:37:10.566515
[2025-05-19T07:09:40.330+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:37:10.620409
[2025-05-19T07:09:40.330+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:10.676842
[2025-05-19T07:09:40.330+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from instagram at 2025-05-19T06:37:10.733790
[2025-05-19T07:09:40.330+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:10.791257
[2025-05-19T07:09:40.330+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from youtube at 2025-05-19T06:37:10.847920
[2025-05-19T07:09:40.330+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:37:10.902639
[2025-05-19T07:09:40.331+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:10.966244
[2025-05-19T07:09:40.331+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:11.018327
[2025-05-19T07:09:40.331+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:11.072332
[2025-05-19T07:09:40.331+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:37:11.125758
[2025-05-19T07:09:40.331+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:40:04.450128
[2025-05-19T07:09:40.331+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from youtube at 2025-05-19T06:40:04.615678
[2025-05-19T07:09:40.331+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:40:04.668592
[2025-05-19T07:09:40.332+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:40:04.724729
[2025-05-19T07:09:40.332+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:40:04.778964
[2025-05-19T07:09:40.332+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:40:04.834154
[2025-05-19T07:09:40.332+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from youtube at 2025-05-19T06:40:04.885099
[2025-05-19T07:09:40.332+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:40:04.937133
[2025-05-19T07:09:40.332+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:40:04.991905
[2025-05-19T07:09:40.332+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:40:05.042904
[2025-05-19T07:09:40.332+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:40:05.093911
[2025-05-19T07:09:40.333+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:40:05.147916
[2025-05-19T07:09:40.333+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from instagram at 2025-05-19T06:40:05.199952
[2025-05-19T07:09:40.333+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:40:05.253099
[2025-05-19T07:09:40.333+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from youtube at 2025-05-19T06:40:05.305154
[2025-05-19T07:09:40.333+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:40:05.356919
[2025-05-19T07:09:40.333+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:40:05.412017
[2025-05-19T07:09:40.333+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from instagram at 2025-05-19T06:40:05.464906
[2025-05-19T07:09:40.334+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:40:05.523906
[2025-05-19T07:09:40.334+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:40:05.574904
[2025-05-19T07:09:40.334+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:40:05.627905
[2025-05-19T07:09:40.334+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from instagram at 2025-05-19T06:40:05.678903
[2025-05-19T07:09:40.334+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from naver at 2025-05-19T06:40:05.729903
[2025-05-19T07:09:40.334+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:40:05.782906
[2025-05-19T07:09:40.334+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:40:05.833908
[2025-05-19T07:09:40.334+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:40:05.884905
[2025-05-19T07:09:40.335+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from naver at 2025-05-19T06:40:05.937906
[2025-05-19T07:09:40.335+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from youtube at 2025-05-19T06:40:05.988933
[2025-05-19T07:09:40.335+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from naver at 2025-05-19T06:40:06.039930
[2025-05-19T07:09:40.335+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:40:06.091171
